Actual_RUL,LSTM,GRU,Final_Prediction,Status
0.224,0.36432964,0.35115206,0.35115206,Warning
0.144,0.35156864,0.26722658,0.26722658,Critical
0.08,0.24607858,0.23137093,0.23137093,Critical
0.472,0.5692745,0.49626362,0.49626362,Warning
0.872,0.826759,0.8834001,0.8834001,Healthy
0.912,0.5745051,0.5189024,0.5189024,Warning
0.376,0.4584064,0.36814195,0.36814195,Warning
1.0,0.8016747,0.77829057,0.77829057,Healthy
0.736,0.7387303,0.7135322,0.7135322,Healthy
0.168,0.2591347,0.23478286,0.23478286,Critical
0.632,0.8326535,0.5986676,0.5986676,Warning
0.912,0.8300983,0.8928679,0.8928679,Healthy
0.232,0.3483891,0.32669574,0.32669574,Warning
0.208,0.3427618,0.299932,0.299932,Critical
0.776,0.8482741,0.83160084,0.83160084,Healthy
1.0,0.86781776,0.90425515,0.90425515,Healthy
0.12,0.2586536,0.22591244,0.22591244,Critical
0.824,0.7431147,0.7367134,0.7367134,Healthy
0.296,0.44551116,0.39100516,0.39100516,Warning
0.912,0.875443,0.79118997,0.79118997,Healthy
0.8,0.8597728,0.80966616,0.80966616,Healthy
0.168,0.31637126,0.2715981,0.2715981,Critical
0.432,0.43957344,0.41702116,0.41702116,Warning
0.576,0.80718756,0.8860834,0.8860834,Healthy
0.224,0.4235522,0.34271336,0.34271336,Warning
1.0,0.85869837,0.8824474,0.8824474,Healthy
0.112,0.28902778,0.2482898,0.2482898,Critical
0.616,0.8822832,0.8572068,0.8572068,Healthy
0.064,0.23262572,0.18285643,0.18285643,Critical
0.968,0.88484144,0.9059219,0.9059219,Healthy
0.752,0.69918704,0.770157,0.770157,Healthy
0.944,0.86601985,0.86553204,0.86553204,Healthy
0.4,0.59433675,0.5822968,0.5822968,Warning
1.0,0.8691844,0.7712883,0.7712883,Healthy
1.0,0.80067015,0.74288833,0.74288833,Healthy
0.904,0.77365255,0.8319661,0.8319661,Healthy
0.08,0.21180208,0.18035251,0.18035251,Critical
0.272,0.4087117,0.33315402,0.33315402,Warning
0.856,0.8618976,0.8977997,0.8977997,Healthy
0.504,0.7072572,0.657445,0.657445,Healthy
0.72,0.6859511,0.8021114,0.8021114,Healthy
0.064,0.22050229,0.18573175,0.18573175,Critical
0.072,0.22591788,0.19508527,0.19508527,Critical
1.0,0.87155366,0.9031754,0.9031754,Healthy
0.464,0.69620705,0.6896333,0.6896333,Healthy
0.944,0.8831898,0.8992015,0.8992015,Healthy
0.712,0.84071875,0.89834595,0.89834595,Healthy
0.928,0.8864355,0.8983129,0.8983129,Healthy
0.92,0.82227933,0.8418991,0.8418991,Healthy
1.0,0.8746114,0.8940451,0.8940451,Healthy
0.224,0.31072614,0.26963258,0.26963258,Critical
0.304,0.32559967,0.27948034,0.27948034,Critical
0.16,0.30870348,0.27837262,0.27837262,Critical
0.68,0.42309314,0.40090537,0.40090537,Warning
0.44,0.54189444,0.4900368,0.4900368,Warning
1.0,0.8559382,0.88053197,0.88053197,Healthy
1.0,0.85668194,0.87529755,0.87529755,Healthy
0.656,0.72597516,0.7421917,0.7421917,Healthy
0.472,0.5195691,0.4618882,0.4618882,Warning
0.936,0.8482337,0.8908202,0.8908202,Healthy
0.16,0.2738434,0.23097295,0.23097295,Critical
0.144,0.21941197,0.22735974,0.22735974,Critical
0.632,0.54042846,0.6032508,0.6032508,Healthy
0.848,0.6390157,0.71254045,0.71254045,Healthy
0.88,0.727028,0.6741834,0.6741834,Healthy
0.12,0.2816064,0.22103952,0.22103952,Critical
1.0,0.89436877,0.90803736,0.90803736,Healthy
0.048,0.19938219,0.1930059,0.1930059,Critical
0.72,0.3758176,0.42915243,0.42915243,Warning
0.088,0.31802094,0.23911785,0.23911785,Critical
0.632,0.7780341,0.8223703,0.8223703,Healthy
0.048,0.2478306,0.21923088,0.21923088,Critical
0.584,0.7047315,0.8195977,0.8195977,Healthy
0.24,0.41638723,0.2952573,0.2952573,Critical
0.088,0.252538,0.21635191,0.21635191,Critical
0.296,0.5273928,0.49447232,0.49447232,Warning
0.536,0.8203442,0.82433397,0.82433397,Healthy
0.544,0.51298165,0.52743876,0.52743876,Warning
0.792,0.6795653,0.77577305,0.77577305,Healthy
0.176,0.22955738,0.23989777,0.23989777,Critical
0.432,0.5511394,0.5199541,0.5199541,Warning
0.776,0.5568961,0.45923358,0.45923358,Warning
0.08,0.2715336,0.23542738,0.23542738,Critical
1.0,0.52463937,0.8717395,0.8717395,Healthy
0.616,0.5220827,0.51438403,0.51438403,Warning
0.704,0.7881117,0.5708874,0.5708874,Warning
1.0,0.89321876,0.9081331,0.9081331,Healthy
1.0,0.885787,0.90826416,0.90826416,Healthy
0.664,0.63519037,0.6040014,0.6040014,Healthy
0.624,0.42890975,0.44710207,0.44710207,Warning
0.6,0.8260988,0.87633497,0.87633497,Healthy
0.088,0.27024943,0.2093732,0.2093732,Critical
0.424,0.60401547,0.8029461,0.8029461,Healthy
1.0,0.89498913,0.9023963,0.9023963,Healthy
0.504,0.8428935,0.90244806,0.90244806,Healthy
0.8,0.7064705,0.7489652,0.7489652,Healthy
1.0,0.8615109,0.84288156,0.84288156,Healthy
0.44,0.529424,0.5373075,0.5373075,Warning
0.384,0.3180809,0.4172461,0.4172461,Warning
0.296,0.46368355,0.2793274,0.2793274,Critical
0.352,0.330292,0.35050714,0.35050714,Warning
0.216,0.38874114,0.2896667,0.2896667,Critical
0.144,0.3676561,0.3086647,0.3086647,Warning
0.048,0.20959452,0.17675933,0.17675933,Critical
0.12,0.26402003,0.23988411,0.23988411,Critical
0.896,0.7851882,0.79711306,0.79711306,Healthy
1.0,0.8915503,0.7985831,0.7985831,Healthy
0.104,0.27412757,0.26827535,0.26827535,Critical
0.976,0.8416945,0.9048171,0.9048171,Healthy
0.104,0.24554113,0.19857125,0.19857125,Critical
0.784,0.8834194,0.91003144,0.91003144,Healthy
0.424,0.36524776,0.3469943,0.3469943,Warning
0.416,0.38672164,0.41354984,0.41354984,Warning
0.848,0.8527913,0.88443094,0.88443094,Healthy
0.824,0.8024876,0.7766926,0.7766926,Healthy
1.0,0.89454687,0.90482754,0.90482754,Healthy
0.984,0.89400387,0.9044818,0.9044818,Healthy
0.208,0.22928587,0.29045975,0.29045975,Critical
0.584,0.66526854,0.7489795,0.7489795,Healthy
1.0,0.8946153,0.7614336,0.7614336,Healthy
0.312,0.29809925,0.38868546,0.38868546,Warning
0.312,0.75113875,0.46860927,0.46860927,Warning
0.112,0.28875205,0.22299938,0.22299938,Critical
0.088,0.22481355,0.20172492,0.20172492,Critical
0.968,0.8807988,0.9075849,0.9075849,Healthy
0.688,0.60971916,0.625516,0.625516,Healthy
0.448,0.39762348,0.4007963,0.4007963,Warning
0.92,0.6178106,0.70109105,0.70109105,Healthy
0.136,0.24409665,0.209596,0.209596,Critical
1.0,0.8823639,0.8925297,0.8925297,Healthy
0.832,0.5024786,0.49297982,0.49297982,Warning
0.624,0.47513545,0.71520644,0.71520644,Healthy
0.688,0.6673112,0.86503303,0.86503303,Healthy
0.784,0.69602036,0.689235,0.689235,Healthy
0.288,0.33580193,0.40791762,0.40791762,Warning
0.752,0.7928319,0.71821284,0.71821284,Healthy
0.416,0.4170172,0.38121092,0.38121092,Warning
0.728,0.8445301,0.85618097,0.85618097,Healthy
0.12,0.17971668,0.16793858,0.16793858,Critical
1.0,0.88286746,0.8623575,0.8623575,Healthy
0.592,0.6411139,0.5867229,0.5867229,Warning
0.136,0.24755663,0.28994417,0.28994417,Critical
0.376,0.37155345,0.39468795,0.39468795,Warning
1.0,0.773355,0.9084349,0.9084349,Healthy
0.168,0.27346644,0.2436552,0.2436552,Critical
0.632,0.5630337,0.421602,0.421602,Warning
0.776,0.55356336,0.84421855,0.84421855,Healthy
0.064,0.21227221,0.17642969,0.17642969,Critical
0.072,0.23119055,0.16275644,0.16275644,Critical
0.584,0.5217184,0.606617,0.606617,Healthy
1.0,0.81671274,0.90758264,0.90758264,Healthy
0.776,0.6714091,0.6094793,0.6094793,Healthy
0.584,0.49584195,0.52263045,0.52263045,Warning
0.392,0.39038774,0.34015617,0.34015617,Warning
0.248,0.25557524,0.21832557,0.21832557,Critical
0.776,0.5186758,0.72173554,0.72173554,Healthy
0.072,0.4288739,0.21433939,0.21433939,Critical
0.112,0.28039706,0.22249766,0.22249766,Critical
0.848,0.89385784,0.9067747,0.9067747,Healthy
0.064,0.22555119,0.18976162,0.18976162,Critical
0.064,0.21290737,0.17420474,0.17420474,Critical
0.848,0.8750489,0.7828826,0.7828826,Healthy
0.928,0.8853313,0.90869695,0.90869695,Healthy
0.96,0.8618176,0.8681153,0.8681153,Healthy
0.488,0.4423496,0.49730617,0.49730617,Warning
1.0,0.715243,0.89563453,0.89563453,Healthy
0.28,0.5060451,0.36210024,0.36210024,Warning
0.64,0.6172409,0.61744344,0.61744344,Healthy
0.072,0.4075333,0.29784918,0.29784918,Critical
0.4,0.47399646,0.42954844,0.42954844,Warning
1.0,0.8943733,0.905091,0.905091,Healthy
0.624,0.4682374,0.68279123,0.68279123,Healthy
0.728,0.63630706,0.7106982,0.7106982,Healthy
0.056,0.17747512,0.16383636,0.16383636,Critical
1.0,0.82571316,0.7655522,0.7655522,Healthy
1.0,0.89147246,0.90931785,0.90931785,Healthy
0.848,0.88148284,0.7762181,0.7762181,Healthy
0.12,0.36428183,0.32812595,0.32812595,Warning
0.536,0.6797502,0.78485405,0.78485405,Healthy
1.0,0.83435833,0.90542203,0.90542203,Healthy
0.056,0.20327769,0.17100632,0.17100632,Critical
1.0,0.74192345,0.7739199,0.7739199,Healthy
0.992,0.89343977,0.8289415,0.8289415,Healthy
0.656,0.536145,0.46932137,0.46932137,Warning
0.864,0.566341,0.52608204,0.52608204,Warning
0.632,0.6474619,0.619583,0.619583,Healthy
0.968,0.56862795,0.70063585,0.70063585,Healthy
0.96,0.8948811,0.9060152,0.9060152,Healthy
0.312,0.39652884,0.5385009,0.5385009,Warning
0.304,0.33708465,0.470074,0.470074,Warning
0.072,0.19743015,0.1953016,0.1953016,Critical
1.0,0.8519815,0.9091577,0.9091577,Healthy
0.696,0.510241,0.63862455,0.63862455,Healthy
0.704,0.46030232,0.6964904,0.6964904,Healthy
0.056,0.18079948,0.16871077,0.16871077,Critical
0.408,0.56417906,0.60042924,0.60042924,Healthy
0.44,0.47195908,0.41971904,0.41971904,Warning
1.0,0.88153243,0.69048744,0.69048744,Healthy
0.376,0.33196586,0.38237578,0.38237578,Warning
0.648,0.7422532,0.7329708,0.7329708,Healthy
0.344,0.80357623,0.76810616,0.76810616,Healthy
0.784,0.89175594,0.9064096,0.9064096,Healthy
0.08,0.2869713,0.3358897,0.3358897,Warning
0.736,0.8913883,0.9096556,0.9096556,Healthy
0.088,0.23289502,0.2187361,0.2187361,Critical
1.0,0.8402519,0.9073574,0.9073574,Healthy
0.272,0.48142448,0.6167985,0.6167985,Healthy
0.92,0.68195903,0.56738925,0.56738925,Warning
0.472,0.60468495,0.4774295,0.4774295,Warning
0.792,0.8607193,0.7948701,0.7948701,Healthy
0.824,0.64611024,0.8540839,0.8540839,Healthy
0.864,0.7463738,0.7890132,0.7890132,Healthy
0.664,0.8264557,0.759249,0.759249,Healthy
1.0,0.8812604,0.89947325,0.89947325,Healthy
0.12,0.3393246,0.35028717,0.35028717,Warning
0.072,0.2287415,0.21092206,0.21092206,Critical
0.336,0.47852412,0.36722487,0.36722487,Warning
0.104,0.23785266,0.23911129,0.23911129,Critical
0.328,0.5056298,0.36179933,0.36179933,Warning
0.704,0.5007676,0.6763192,0.6763192,Healthy
0.112,0.24934559,0.23806232,0.23806232,Critical
1.0,0.8856007,0.9086692,0.9086692,Healthy
1.0,0.77536076,0.90903014,0.90903014,Healthy
0.768,0.7837391,0.83322597,0.83322597,Healthy
0.656,0.60604715,0.8904107,0.8904107,Healthy
1.0,0.58952403,0.75830024,0.75830024,Healthy
1.0,0.8931806,0.9090228,0.9090228,Healthy
0.288,0.30154744,0.2867967,0.2867967,Critical
0.856,0.88536704,0.7735986,0.7735986,Healthy
0.112,0.32357973,0.21426281,0.21426281,Critical
0.76,0.56793404,0.7246899,0.7246899,Healthy
1.0,0.7898799,0.7444808,0.7444808,Healthy
0.184,0.27361697,0.35201025,0.35201025,Warning
0.048,0.18252671,0.16742823,0.16742823,Critical
1.0,0.58298135,0.81518996,0.81518996,Healthy
0.28,0.86614525,0.48318964,0.48318964,Warning
0.776,0.7749742,0.71206766,0.71206766,Healthy
0.544,0.5053667,0.5275295,0.5275295,Warning
0.112,0.25179368,0.20292076,0.20292076,Critical
0.536,0.59298754,0.64721686,0.64721686,Healthy
1.0,0.8126267,0.90824544,0.90824544,Healthy
0.152,0.18423943,0.2113888,0.2113888,Critical
0.08,0.2605024,0.21696654,0.21696654,Critical
1.0,0.89206135,0.9006795,0.9006795,Healthy
1.0,0.8777149,0.90472436,0.90472436,Healthy
0.344,0.4423847,0.41679347,0.41679347,Warning
0.096,0.27600616,0.20358473,0.20358473,Critical
1.0,0.8891746,0.90918267,0.90918267,Healthy
0.104,0.25625616,0.28272462,0.28272462,Critical
0.296,0.276747,0.2960757,0.2960757,Critical
0.976,0.8927169,0.8657641,0.8657641,Healthy
0.64,0.3608049,0.38937864,0.38937864,Warning
0.744,0.74885464,0.73115236,0.73115236,Healthy
1.0,0.89220536,0.90587026,0.90587026,Healthy
0.256,0.7746059,0.8240703,0.8240703,Healthy
0.824,0.89369166,0.9085085,0.9085085,Healthy
1.0,0.6733091,0.6865225,0.6865225,Healthy
0.544,0.75425535,0.90956587,0.90956587,Healthy
1.0,0.8716661,0.7888909,0.7888909,Healthy
0.968,0.8947941,0.9061886,0.9061886,Healthy
1.0,0.66157746,0.59265417,0.59265417,Warning
0.384,0.47277066,0.5554164,0.5554164,Warning
0.68,0.61357415,0.5159686,0.5159686,Warning
0.064,0.19190997,0.18922646,0.18922646,Critical
0.184,0.33125895,0.2831479,0.2831479,Critical
0.064,0.17810094,0.17657432,0.17657432,Critical
0.048,0.21522686,0.18398896,0.18398896,Critical
0.456,0.62084496,0.76389223,0.76389223,Healthy
0.664,0.6366067,0.6493029,0.6493029,Healthy
1.0,0.89079666,0.9099908,0.9099908,Healthy
0.808,0.85420406,0.907041,0.907041,Healthy
0.648,0.7198684,0.6171799,0.6171799,Healthy
0.688,0.62192,0.69717443,0.69717443,Healthy
1.0,0.89526963,0.9093954,0.9093954,Healthy
0.584,0.49627134,0.69857424,0.69857424,Healthy
0.968,0.8632177,0.90777576,0.90777576,Healthy
1.0,0.88468814,0.84458536,0.84458536,Healthy
0.6,0.3757435,0.4522372,0.4522372,Warning
1.0,0.8893962,0.9091671,0.9091671,Healthy
0.088,0.2936362,0.21933116,0.21933116,Critical
0.864,0.70070493,0.80450904,0.80450904,Healthy
0.112,0.24232793,0.16399688,0.16399688,Critical
1.0,0.5975239,0.7011318,0.7011318,Healthy
0.488,0.5571375,0.4952131,0.4952131,Warning
0.68,0.8913964,0.90905666,0.90905666,Healthy
0.064,0.20190784,0.21230024,0.21230024,Critical
0.808,0.63305354,0.76370907,0.76370907,Healthy
1.0,0.80383563,0.9098175,0.9098175,Healthy
0.712,0.86725664,0.78368694,0.78368694,Healthy
1.0,0.8882426,0.90752757,0.90752757,Healthy
0.096,0.23119648,0.21233822,0.21233822,Critical
0.496,0.3058436,0.32282412,0.32282412,Warning
1.0,0.883469,0.909147,0.909147,Healthy
0.808,0.8313105,0.7475852,0.7475852,Healthy
0.968,0.7245903,0.62758344,0.62758344,Healthy
1.0,0.8935318,0.9085553,0.9085553,Healthy
0.136,0.21462247,0.20771855,0.20771855,Critical
1.0,0.6243577,0.8982047,0.8982047,Healthy
1.0,0.7000791,0.7338085,0.7338085,Healthy
0.128,0.20715085,0.18296272,0.18296272,Critical
1.0,0.74443746,0.6930469,0.6930469,Healthy
1.0,0.89425874,0.86763436,0.86763436,Healthy
0.448,0.48129603,0.6122519,0.6122519,Healthy
0.888,0.89476955,0.9081587,0.9081587,Healthy
0.184,0.17947903,0.18135603,0.18135603,Critical
0.672,0.86965334,0.90412885,0.90412885,Healthy
0.096,0.2358159,0.19214095,0.19214095,Critical
0.344,0.29531813,0.48662627,0.48662627,Warning
0.384,0.6101556,0.49504083,0.49504083,Warning
0.976,0.8653947,0.9037999,0.9037999,Healthy
1.0,0.5573314,0.52789503,0.52789503,Warning
0.448,0.4849394,0.4049685,0.4049685,Warning
1.0,0.873808,0.9092553,0.9092553,Healthy
0.408,0.6446065,0.7551402,0.7551402,Healthy
0.352,0.42454916,0.52584314,0.52584314,Warning
0.408,0.6460377,0.52738386,0.52738386,Warning
0.216,0.38798097,0.31234485,0.31234485,Warning
0.96,0.8769022,0.90186614,0.90186614,Healthy
0.808,0.8611344,0.8816575,0.8816575,Healthy
0.792,0.82239735,0.86847025,0.86847025,Healthy
0.568,0.46804065,0.3997594,0.3997594,Warning
0.44,0.4785823,0.37876683,0.37876683,Warning
0.44,0.52694476,0.42235932,0.42235932,Warning
0.528,0.7138634,0.53785986,0.53785986,Warning
0.616,0.66646445,0.8361989,0.8361989,Healthy
0.92,0.8415173,0.89190376,0.89190376,Healthy
0.92,0.8405061,0.6221661,0.6221661,Healthy
0.248,0.34745127,0.29603332,0.29603332,Critical
0.864,0.88388896,0.9046812,0.9046812,Healthy
0.448,0.81274974,0.74457383,0.74457383,Healthy
1.0,0.8682629,0.9036752,0.9036752,Healthy
1.0,0.8529506,0.8526799,0.8526799,Healthy
0.68,0.8884684,0.86304474,0.86304474,Healthy
0.448,0.7529136,0.71809965,0.71809965,Healthy
0.144,0.25503013,0.24829368,0.24829368,Critical
0.952,0.88253105,0.9073015,0.9073015,Healthy
0.624,0.65517783,0.72016,0.72016,Healthy
0.072,0.19399749,0.16911417,0.16911417,Critical
0.464,0.5098494,0.6077074,0.6077074,Healthy
0.088,0.2452318,0.24791597,0.24791597,Critical
0.704,0.8766768,0.90777963,0.90777963,Healthy
1.0,0.8683275,0.8999033,0.8999033,Healthy
0.992,0.8748224,0.9038081,0.9038081,Healthy
0.712,0.6754167,0.84543574,0.84543574,Healthy
0.632,0.6097729,0.6757714,0.6757714,Healthy
0.44,0.53636384,0.60425013,0.60425013,Healthy
0.568,0.6492412,0.54579496,0.54579496,Warning
0.52,0.7638496,0.65893114,0.65893114,Healthy
0.696,0.8740561,0.9012309,0.9012309,Healthy
1.0,0.8883953,0.90714705,0.90714705,Healthy
1.0,0.87208784,0.8996116,0.8996116,Healthy
0.176,0.3490352,0.28831026,0.28831026,Critical
0.064,0.22861412,0.17302833,0.17302833,Critical
0.328,0.3421321,0.34544504,0.34544504,Warning
1.0,0.88207984,0.9017799,0.9017799,Healthy
0.92,0.8018191,0.848147,0.848147,Healthy
1.0,0.88705325,0.90493125,0.90493125,Healthy
0.552,0.6491169,0.81079483,0.81079483,Healthy
0.888,0.88177717,0.9046778,0.9046778,Healthy
0.056,0.19396746,0.1919907,0.1919907,Critical
1.0,0.8619567,0.7988527,0.7988527,Healthy
0.44,0.47398764,0.5175928,0.5175928,Warning
1.0,0.88281524,0.9012588,0.9012588,Healthy
0.088,0.25913528,0.2141146,0.2141146,Critical
0.624,0.7025182,0.52416223,0.52416223,Warning
0.96,0.7528207,0.89242953,0.89242953,Healthy
0.696,0.81920576,0.7542889,0.7542889,Healthy
0.696,0.88501585,0.8981827,0.8981827,Healthy
0.44,0.4597185,0.45976067,0.45976067,Warning
0.744,0.776369,0.6914719,0.6914719,Healthy
0.704,0.7667827,0.734806,0.734806,Healthy
0.32,0.4665043,0.3970505,0.3970505,Warning
0.392,0.4596714,0.3602699,0.3602699,Warning
1.0,0.8349285,0.85138625,0.85138625,Healthy
1.0,0.8764566,0.90127254,0.90127254,Healthy
0.464,0.4847347,0.51693386,0.51693386,Warning
0.936,0.8751886,0.9070021,0.9070021,Healthy
0.224,0.31340083,0.30276436,0.30276436,Warning
0.92,0.8821269,0.89995587,0.89995587,Healthy
0.696,0.76309,0.6266338,0.6266338,Healthy
0.736,0.8628317,0.9037945,0.9037945,Healthy
0.824,0.88125634,0.8946944,0.8946944,Healthy
0.8,0.8642385,0.8884022,0.8884022,Healthy
0.504,0.75524354,0.5966139,0.5966139,Warning
0.28,0.38952783,0.30595368,0.30595368,Warning
0.36,0.47266796,0.5628831,0.5628831,Warning
0.792,0.88168466,0.88666,0.88666,Healthy
0.936,0.88652885,0.90866536,0.90866536,Healthy
0.36,0.42704022,0.5186308,0.5186308,Warning
0.216,0.30936086,0.26682937,0.26682937,Critical
0.688,0.52712,0.5511947,0.5511947,Warning
0.16,0.3483592,0.28970984,0.28970984,Critical
0.144,0.28968957,0.24206623,0.24206623,Critical
1.0,0.89320886,0.9068598,0.9068598,Healthy
0.12,0.2541362,0.24511224,0.24511224,Critical
0.048,0.20059627,0.1764995,0.1764995,Critical
1.0,0.8562974,0.9042847,0.9042847,Healthy
0.832,0.78774035,0.7100399,0.7100399,Healthy
0.448,0.714412,0.73195326,0.73195326,Healthy
0.2,0.31890732,0.26346523,0.26346523,Critical
0.544,0.53803015,0.57148653,0.57148653,Warning
1.0,0.8896893,0.90771884,0.90771884,Healthy
0.328,0.37955818,0.4034356,0.4034356,Warning
0.408,0.4911868,0.47714275,0.47714275,Warning
0.648,0.7323084,0.5146794,0.5146794,Warning
0.112,0.29451746,0.21983138,0.21983138,Critical
0.536,0.6006986,0.4954744,0.4954744,Warning
0.08,0.22587417,0.17367378,0.17367378,Critical
1.0,0.8465985,0.9050161,0.9050161,Healthy
0.904,0.63231575,0.74717057,0.74717057,Healthy
0.984,0.88543046,0.9084451,0.9084451,Healthy
0.136,0.26562968,0.22596785,0.22596785,Critical
0.064,0.25328112,0.17734979,0.17734979,Critical
0.224,0.2997182,0.2931708,0.2931708,Critical
0.176,0.42322338,0.3003574,0.3003574,Warning
0.312,0.88309896,0.4838546,0.4838546,Warning
0.856,0.89352465,0.9084931,0.9084931,Healthy
0.6,0.8895751,0.909537,0.909537,Healthy
1.0,0.84197867,0.7454042,0.7454042,Healthy
0.624,0.8948388,0.7917343,0.7917343,Healthy
0.752,0.6056051,0.6608865,0.6608865,Healthy
0.112,0.22135237,0.16456072,0.16456072,Critical
0.792,0.68872964,0.78197265,0.78197265,Healthy
1.0,0.89060843,0.81363475,0.81363475,Healthy
0.056,0.23043676,0.21647578,0.21647578,Critical
0.568,0.5756718,0.55591726,0.55591726,Warning
0.84,0.5836148,0.48088193,0.48088193,Warning
0.096,0.2578136,0.288481,0.288481,Critical
1.0,0.89447176,0.90163743,0.90163743,Healthy
1.0,0.85754323,0.8341706,0.8341706,Healthy
0.832,0.7606492,0.7365973,0.7365973,Healthy
0.656,0.47785017,0.4871788,0.4871788,Warning
0.728,0.66878045,0.8059595,0.8059595,Healthy
0.088,0.28500703,0.2668364,0.2668364,Critical
0.208,0.36047363,0.28481784,0.28481784,Critical
1.0,0.8923137,0.7987969,0.7987969,Healthy
0.312,0.3107683,0.31720266,0.31720266,Warning
0.736,0.7469866,0.7454084,0.7454084,Healthy
0.608,0.5546988,0.6393967,0.6393967,Healthy
0.512,0.80009687,0.6671264,0.6671264,Healthy
0.944,0.88015723,0.898623,0.898623,Healthy
0.048,0.25876123,0.1691969,0.1691969,Critical
0.176,0.27250376,0.25883764,0.25883764,Critical
1.0,0.894475,0.90799785,0.90799785,Healthy
1.0,0.6647916,0.74014324,0.74014324,Healthy
0.288,0.26740602,0.22050641,0.22050641,Critical
0.584,0.68999815,0.61819196,0.61819196,Healthy
0.712,0.574646,0.66216767,0.66216767,Healthy
0.088,0.36000806,0.28298956,0.28298956,Critical
1.0,0.5790031,0.8738047,0.8738047,Healthy
0.08,0.24489215,0.21682411,0.21682411,Critical
0.776,0.69864297,0.7071092,0.7071092,Healthy
0.24,0.22058937,0.24580899,0.24580899,Critical
0.336,0.84916675,0.8423269,0.8423269,Healthy
0.48,0.2639593,0.30373073,0.30373073,Warning
0.68,0.619702,0.70477736,0.70477736,Healthy
1.0,0.721387,0.7719076,0.7719076,Healthy
0.272,0.42385978,0.3469224,0.3469224,Warning
0.36,0.60777736,0.5419166,0.5419166,Warning
0.192,0.34861815,0.46115708,0.46115708,Warning
0.688,0.59496844,0.7920823,0.7920823,Healthy
0.952,0.89414585,0.90936285,0.90936285,Healthy
1.0,0.8942809,0.90930295,0.90930295,Healthy
1.0,0.8940214,0.9090561,0.9090561,Healthy
1.0,0.61603296,0.537905,0.537905,Warning
1.0,0.86682904,0.9086432,0.9086432,Healthy
0.536,0.8688283,0.901236,0.901236,Healthy
0.776,0.7865987,0.7915261,0.7915261,Healthy
0.064,0.18327056,0.2048346,0.2048346,Critical
1.0,0.8843472,0.86081696,0.86081696,Healthy
1.0,0.86594486,0.9081482,0.9081482,Healthy
0.408,0.37206146,0.34230018,0.34230018,Warning
0.264,0.36573696,0.3440459,0.3440459,Warning
1.0,0.8887861,0.9040159,0.9040159,Healthy
0.368,0.5621464,0.34625357,0.34625357,Warning
0.096,0.2967375,0.30318516,0.30318516,Warning
1.0,0.54483354,0.77538073,0.77538073,Healthy
0.368,0.32427078,0.45612246,0.45612246,Warning
0.368,0.36649257,0.3837394,0.3837394,Warning
0.096,0.24456468,0.17924087,0.17924087,Critical
0.264,0.31012824,0.31938797,0.31938797,Warning
0.12,0.2870079,0.23153464,0.23153464,Critical
1.0,0.7699133,0.9087377,0.9087377,Healthy
0.184,0.30395415,0.32575542,0.32575542,Warning
0.712,0.64823043,0.6786783,0.6786783,Healthy
0.992,0.85887444,0.9096445,0.9096445,Healthy
1.0,0.8928379,0.90956444,0.90956444,Healthy
0.2,0.715515,0.3670445,0.3670445,Warning
0.592,0.8936604,0.8876247,0.8876247,Healthy
